t;force_n;position_mm
1302.688492178;53.81516842733608;0.0
1302.6904921779999;53.34985901052849;0.1
1302.6924921779998;49.31651123327312;0.2
1302.694492178;28.908829420781444;0.3
1302.696492178;64.25815554000056;0.4
1302.698492178;65.07270880100253;0.5
1302.7004921779999;75.57559207848797;0.6
1302.7024921779998;28.825812391943614;0.7
1302.704492178;64.56695972601776;0.8
1302.706492178;50.41551543612279;0.9
1302.708492178;0.0;1.0
1302.7104921779999;37.7445110759618;1.1
1302.7124921779998;42.75303875138227;1.2
1302.714492178;51.34545383701257;1.3
1302.716492178;56.07406669257357;1.4
1302.718492178;64.88841904270514;1.5
1302.7204921779999;50.335940080989864;1.6
1302.722492178;56.08914705920043;1.7
1302.724492178;82.99651471127535;1.8
1302.726492178;53.82112050488944;1.9
1302.728492178;48.107909068464544;2.0
1302.7304921779998;48.959310776984;2.1
1302.732492178;37.39716965668473;2.2
1302.734492178;38.25377791146606;2.3
1302.736492178;50.532758337796814;2.4
1302.738492178;67.4763099832402;2.5
1302.7404921779998;69.12047988420635;2.6
1302.742492178;69.04904057439015;2.7
1302.744492178;57.719404535000244;2.8
1302.746492178;25.693998241888952;2.9
1302.7484921779999;68.58948167903485;3.0
1302.7504921779998;72.26023944944617;3.1
1302.752492178;26.938182090830125;3.2
1302.754492178;45.78971388661496;3.3
1302.756492178;33.94122963006565;3.4
1302.7584921779999;52.40773236475647;3.5
1302.7604921779998;29.082604433770314;3.6
1302.762492178;53.744829701119706;3.7
1302.764492178;15.122089070738781;3.8
1302.766492178;54.23141600891965;3.9
1302.7684921779999;25.040268834944992;4.0
1302.770492178;54.74412424594363;4.1
1302.772492178;79.17425833061341;4.2
1302.774492178;51.21857435002192;4.3
1302.776492178;58.538790443818435;4.4
1302.7784921779999;36.94369560578134;4.5
1302.780492178;50.515225108367346;4.6
1302.782492178;42.75426193986951;4.7
1302.784492178;25.503159875422163;4.8
1302.786492178;34.910122555339825;4.9
1302.7884921779998;0.0;5.0
1302.790492178;0.0;5.1
1302.792492178;0.0;5.2
1302.794492178;0.0;5.3
1302.7964921779999;0.0;5.4
1302.7984921779998;0.0;5.5
1302.800492178;0.0;5.6
1302.802492178;0.0;5.7
1302.804492178;0.0;5.8
1302.8064921779999;0.0;5.9
1302.8084921779998;0.0;6.0
1302.810492178;0.0;6.1
1302.812492178;0.0;6.2
1302.814492178;0.0;6.3
1302.8164921779999;0.0;6.4
1302.818492178;0.0;6.5
1302.820492178;0.0;6.6
1302.822492178;0.0;6.7
1302.824492178;0.0;6.8
1302.8264921779999;0.0;6.9
1302.828492178;0.0;7.0
1302.830492178;0.0;7.1
1302.832492178;0.0;7.2
1302.834492178;0.0;7.3
1302.8364921779998;0.0;7.4
1302.838492178;0.0;7.5
1302.840492178;0.0;7.6
1302.842492178;0.0;7.7
1302.8444921779999;0.0;7.8
1302.8464921779998;0.0;7.9
1302.848492178;0.0;8.0
1302.850492178;0.0;8.1
